a,b
CvL-1 x CvL-146,CvL-171 x CvL-143
CvL-10 x CvL-26,CvL-174 x CvL-34
CvL-101 x CvL-176,CvL-180 x CvL-157
CvL-102 x CvL-28,CvL-183 x CvL-118
CvL-145 x CvL-105,CvL-186 x CvL-27
CvL-107 x CvL-124,CvL-187 x CvL-190
CvL-109 x CvL-185,CvL-187 x CvL-69
CvL-109 x CvL-47,CvL-189 x CvL-133
CvL-110 x CvL-32,CvL-19 x CvL-173
CvL-112 x CvL-30,CvL-19 x CvL-67
CvL-113 x CvL-141,CvL-190 x CvL-176
CvL-114 x CvL-3,CvL-191 x CvL-31
CvL-114 x CvL-60,CvL-192 x CvL-189
CvL-115 x CvL-126,CvL-20 x CvL-138
CvL-117 x CvL-73,CvL-21 x CvL-22
CvL-118 x CvL-108,CvL-24 x CvL-171
CvL-118 x CvL-164,CvL-25 x CvL-9
CvL-119 x CvL-177,CvL-26 x CvL-74
CvL-12 x CvL-142,CvL-33  x  CvL-58
CvL-122 x CvL-42,CvL-35 x CvL-120
CvL-125 x CvL-117,CvL-38 x CvL-35
CvL-128 x CvL-6,CvL-39 x CvL-27
CvL-129  x CvL-132,CvL-40 x CvL-74
CvL-133 x CvL-35,CvL-41 x CvL-70
CvL-134 x CvL-29,CvL-43 x CvL-131
CvL-135 x CvL-10,CvL-44 x CvL-50
CvL-135 x CvL-140,CvL-45 x CvL-23
CvL-136 x CvL-102,CvL-46 x CvL-29
CvL-165 x CvL-137,CvL-48 x CvL-160
CvL-139 x CvL-162,CvL-49 x CvL-158
CvL-139 x CvL-36,CvL-5 x CvL-172
CvL-14 x CvL-4,CvL-5 x CvL-188
CvL-146 x CvL-64,CvL-51 x CvL-111
CvL-147 x CvL-50,CvL-51 x CvL-18
CvL-147 x CvL-69,CvL-54 x CvL-183
CvL-149 x CvL-165,CvL-55 x CvL-18
CvL-150 x CvL-37,CvL-59 x CvL-116
CvL-152 x CvL-42,CvL-6 x CvL-131
CvL-153 x CvL-108,CvL-61 x CvL-162
CvL-153 x CvL-20,CvL-63 x CvL-151
CvL-154 x CvL-144,CvL-7 x CvL-46
CvL-156 x CvL-166,CvL-8 x CvL-61
CvL-16 x CvL-4,Ler x Ler
CvL-16 x CvL-66,Ler self
CvL-164 x CvL-7,Cvi x Ler
CvL-166 x CvL-25,Ler x Cvi
CvL-168 x CvL-22,Cvi-0
CvL-169 x CvL-175,
CvL-17 x CvL-21,
CvL-170 x CvL-24,
