Pipeline,Rep,real,user,sys
aln_subread,1,201.228,2483.187,48.387
aln_subread,2,206.843,2475.375,50.735
aln_subread,3,206.252,2475.979,50.835
aln_subread,4,215.145,2498.44,49.223
aln_subread,5,215.334,2479.879,51.211
aln_subread_htseq,1,293.902,3850.793,61.64
aln_subread_htseq,2,289.713,3874.486,61.6
aln_subread_htseq,3,291.099,3863.765,63.096
aln_subread_htseq,4,299.999,3874.218,61.844
aln_subread_htseq,5,289.076,3884.335,62.752
aln_tophat,1,783.945,8829.82,798.254
aln_tophat,2,775.81,8777.201,813.935
aln_tophat,3,777.886,8782.841,809.871
aln_tophat,4,770.059,8783.117,714.381
aln_tophat,5,764.492,8799.814,691.467
aln_tophat_htseq,1,825.896,9343.312,683.743
aln_tophat_htseq,2,833.059,9324.483,670.658
aln_tophat_htseq,3,822.185,9309.418,704.608
aln_tophat_htseq,4,824.131,9335.427,713.349
aln_tophat_htseq,5,825.768,9327.335,661.093
